cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:trich	ATTRIBUTE_condition:GNPSGROUP:control	ATTRIBUTE_condition:GNPSGROUP:nan	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_1	ATTRIBUTE_condition_detailed:GNPSGROUP:control	ATTRIBUTE_condition_detailed:GNPSGROUP:trich_2	ATTRIBUTE_condition_detailed:GNPSGROUP:nan
3350	690.3706527584521	4.9430466	1044611.09375	1397680.3250000002		1274371.4875	1397680.3250000002	814850.7	
3351	289.17815783924834	4.9290957	0.0	249776.515		0.0	249776.515	0.0	
3352	281.175195823339	4.9515357	1424158.1425	3050637.925		2068358.325	3050637.925	779957.96	
3353	321.1678679376094	4.9522977	773945.7124999999	2136126.175		1360370.25	2136126.175	187521.175	
3354	351.2144525882914	4.8821497	66382088.275	47676600.5		68204370.55	47676600.5	64559806.0	
3355	374.2666172751226	4.9645267	0.0	912276.375		0.0	912276.375	0.0	
3356	374.2694654755739	4.9665008	1381636.675	1413091.825		1731654.725	1413091.825	1031618.625	
3357	665.2790375354056	4.9689775	1337264.65	1278172.0499999998		1800115.6375	1278172.0499999998	874413.6625	
3358	660.3236317114643	4.9685388	2390747.3375	1742288.025		2912457.425	1742288.025	1869037.25	
3359	283.1544279384374	5.038569	826732.8275000001	1040132.2999999999		969443.4800000001	1040132.2999999999	684022.175	
3360	139.98272590632104	4.961784	936877.78125	1055157.475		950475.15	1055157.475	923280.4125	
3361	172.17002144638406	4.9758124	0.0	0.0		0.0	0.0	0.0	
3362	275.19907179175146	4.981775	0.0	629295.45		0.0	629295.45	0.0	
3363	373.1650053518688	4.9834166	770845.6487499999	639527.6125		766938.8625	639527.6125	774752.4349999999	
3364	355.15440573515656	4.972427	1298775.475	1302537.2		1343944.15	1302537.2	1253606.7999999998	
3365	542.2813740511581	4.9836984	1640944.1500000001	2238382.375		1988646.025	2238382.375	1293242.275	
3366	275.201160965927	4.9664955	164920.9	171609.075		0.0	171609.075	329841.8	
3367	305.10211877008766	4.988627	0.0	0.0		0.0	0.0	0.0	
3368	337.1413847822116	4.990408	0.0	393945.75		0.0	393945.75	0.0	
3369	355.1517474657011	4.990408	0.0	822060.5		0.0	822060.5	0.0	
3370	373.1622643221472	4.990408	0.0	631761.3		0.0	631761.3	0.0	
3371	344.2410942021856	4.9989076	0.0	520756.275		0.0	520756.275	0.0	
3372	525.2698297304894	5.0561395	905012.6000000001	828289.15		1503243.85	828289.15	306781.35	
3373	323.22211399811204	5.00337	592452.0675	1030730.2		967954.15	1030730.2	216949.985	
3374	344.2436510161061	4.9883413	343507.01249999995	440959.935		434446.19999999995	440959.935	252567.825	
3375	291.1937972746598	5.0075536	0.0	463854.9		0.0	463854.9	0.0	
