id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_01.mzML:isotopes
65,9.749E4,2.949,212.16464,212.16471,2.9315,2.9929,212.16466,5.837E5,2.949E6,2.949E6,1,,DETECTED,9.749E4,2.949,212.16464,212.16471,0.031,2.9315,2.9929,212.16466,5.837E5,2.949E6,2.2444,1.7525,2.949E6,1,-0.0048,,
66,8.497E5,3.0187,506.29904,506.29962,2.984,3.131,506.29917,5.369E5,3.03E7,3.03E7,2,1,DETECTED,8.497E5,3.0187,506.29904,506.29962,0.0225,2.984,3.131,506.29917,5.369E5,3.03E7,1.1133,1.2362,3.03E7,2,-0.0132,1,2
68,1.153E5,3.0971,239.08904,239.08917,3.0359,3.1484,239.08912,5.471E5,1.78E6,1.78E6,2,,DETECTED,1.153E5,3.0971,239.08904,239.08917,0.0657,3.0359,3.1484,239.08912,5.471E5,1.78E6,0.8371,0.9185,1.78E6,2,-0.0288,,
69,1.088E5,3.1055,173.07894,173.08124,3.0359,3.1484,173.08114,5.135E5,1.617E6,1.617E6,2,,DETECTED,1.088E5,3.1055,173.07894,173.08124,0.0739,3.0359,3.1484,173.08114,5.135E5,1.617E6,0.6152,0.8076,1.617E6,2,-0.0461,,
70,3.358E5,3.1055,217.10521,217.10736,3.0187,3.2089,217.10725,5.297E5,4.127E6,4.127E6,3,,DETECTED,3.358E5,3.1055,217.10521,217.10736,0.0729,3.0187,3.2089,217.10725,5.297E5,4.127E6,1.3269,1.0954,4.127E6,3,-0.056,,
71,8.439E5,3.114,550.32507,550.32574,3.0885,3.2265,550.32526,5.318E5,2.932E7,2.932E7,3,1,DETECTED,8.439E5,3.114,550.32507,550.32574,0.0243,3.0885,3.2265,550.32526,5.318E5,2.932E7,1.0096,1.2613,2.932E7,3,-0.013,1,2
73,1.904E5,3.1225,652.41156,652.41205,3.1055,3.1659,652.41171,5.75E5,7.744E6,7.744E6,1,,DETECTED,1.904E5,3.1225,652.41156,652.41205,0.0221,3.1055,3.1659,652.41171,5.75E5,7.744E6,1.8835,1.5989,7.744E6,1,-0.0046,,
74,7.019E5,3.2003,594.35132,594.35205,3.1747,3.2965,594.35151,5.31E5,2.591E7,2.591E7,2,1,DETECTED,7.019E5,3.2003,594.35132,594.35205,0.023,3.1747,3.2965,594.35151,5.31E5,2.591E7,0.9837,1.1896,2.591E7,2,-0.0131,1,2
76,5.05E5,3.279,638.3775,638.37848,3.253,3.3405,638.37799,5.18E5,1.902E7,1.902E7,2,1,DETECTED,5.05E5,3.279,638.3775,638.37848,0.0233,3.253,3.3405,638.37799,5.18E5,1.902E7,1.4238,1.2036,1.902E7,2,-0.0132,1,2
78,4.146E5,3.3491,163.13307,163.13326,3.2877,3.516,163.13314,5.134E5,5.258E6,5.258E6,4,,DETECTED,4.146E5,3.3491,163.13307,163.13326,0.0604,3.2877,3.516,163.13314,5.134E5,5.258E6,2.6544,2.4462,5.258E6,4,-0.0388,,
79,1.034E5,3.3491,185.11507,185.11519,3.3053,3.3927,185.11512,6.282E5,1.897E6,1.897E6,2,,DETECTED,1.034E5,3.3491,185.11507,185.11519,0.0585,3.3053,3.3927,185.11512,6.282E5,1.897E6,0.9955,0.9978,1.897E6,2,-0.0288,,
