id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_post_01.mzML:isotopes
892,1.934E5,11.6195,138.10266,138.10277,1,11.5794,11.6436,138.10273,9.147E5,4.339E6,4.339E6,,DETECTED,1.934E5,11.6195,138.10266,138.10277,1,-0.018,0.0578,11.5794,11.6436,138.10273,9.147E5,4.339E6,0.6013,0.8007,4.339E6,,
893,4.894E4,11.6195,139.09781,139.09802,0,11.5794,11.6436,139.09795,5.094E5,1.197E6,1.197E6,,DETECTED,4.894E4,11.6195,139.09781,139.09802,,,0.0472,11.5794,11.6436,139.09795,5.094E5,1.197E6,0.6013,0.8007,1.197E6,,
894,8.989E4,11.6195,148.08696,148.08714,0,11.5794,11.6436,148.08706,8.609E5,1.978E6,1.978E6,,DETECTED,8.989E4,11.6195,148.08696,148.08714,,,0.0492,11.5794,11.6436,148.08706,8.609E5,1.978E6,0.6013,0.8007,1.978E6,,
895,4.671E5,11.6195,149.08224,149.08244,2,11.5315,11.6436,149.08235,1.287E6,6.483E6,6.483E6,,DETECTED,4.671E5,11.6195,149.08224,149.08244,2,-0.0579,0.0449,11.5315,11.6436,149.08235,1.287E6,6.483E6,0.274,0.637,6.483E6,,
896,9.801E4,11.6195,150.10266,150.1028,0,11.5794,11.6436,150.10274,5.254E5,2.264E6,2.264E6,,DETECTED,9.801E4,11.6195,150.10266,150.1028,,,0.0662,11.5794,11.6436,150.10274,5.254E5,2.264E6,0.6013,0.8007,2.264E6,,
897,2.179E5,11.6195,151.09787,151.09801,1,11.5794,11.6436,151.09796,1.441E6,4.886E6,4.886E6,,DETECTED,2.179E5,11.6195,151.09787,151.09801,1,-0.0271,0.0609,11.5794,11.6436,151.09796,1.441E6,4.886E6,0.6013,0.8007,4.886E6,,
898,7.62E4,11.6195,152.11832,152.11844,0,11.5794,11.6436,152.1184,7.344E5,1.642E6,1.642E6,,DETECTED,7.62E4,11.6195,152.11832,152.11844,,,0.0471,11.5794,11.6436,152.1184,7.344E5,1.642E6,0.6013,0.8007,1.642E6,,
899,2.069E5,11.6195,153.11354,153.11368,1,11.5794,11.6436,153.11364,1.159E6,4.767E6,4.767E6,,DETECTED,2.069E5,11.6195,153.11354,153.11368,1,-0.026,0.0256,11.5794,11.6436,153.11364,1.159E6,4.767E6,0.6013,0.8007,4.767E6,,
900,1.195E5,11.6195,161.08223,161.08241,0,11.5794,11.6436,161.08233,1.201E6,2.865E6,2.865E6,,DETECTED,1.195E5,11.6195,161.08223,161.08241,,,0.0454,11.5794,11.6436,161.08233,1.201E6,2.865E6,0.6013,0.8007,2.865E6,,
901,1.724E5,11.6195,165.11359,165.11375,1,11.5794,11.6436,165.11368,8.759E5,3.96E6,3.96E6,,DETECTED,1.724E5,11.6195,165.11359,165.11375,1,0.0108,0.0529,11.5794,11.6436,165.11368,8.759E5,3.96E6,0.6013,0.8007,3.96E6,,
902,9.897E4,11.6195,167.09288,167.09303,0,11.5874,11.6436,167.09295,5.293E5,2.853E6,2.853E6,,DETECTED,9.897E4,11.6195,167.09288,167.09303,,,0.0469,11.5874,11.6436,167.09295,5.293E5,2.853E6,0.7514,0.8757,2.853E6,,
903,4.511E4,11.6195,174.09023,174.09038,0,11.5874,11.6436,174.09031,5.575E5,1.303E6,1.303E6,,DETECTED,4.511E4,11.6195,174.09023,174.09038,,,0.0229,11.5874,11.6436,174.09031,5.575E5,1.303E6,0.7514,0.8757,1.303E6,,
904,5.916E4,11.6195,175.09804,175.09825,0,11.5794,11.6436,175.0981,5.242E5,1.339E6,1.339E6,,DETECTED,5.916E4,11.6195,175.09804,175.09825,,,0.0481,11.5794,11.6436,175.0981,5.242E5,1.339E6,0.6013,0.8007,1.339E6,,
905,8.799E4,11.6195,177.11345,177.11383,0,11.5794,11.6436,177.11363,6.531E5,2.004E6,2.004E6,,DETECTED,8.799E4,11.6195,177.11345,177.11383,,,0.0511,11.5794,11.6436,177.11363,6.531E5,2.004E6,0.6013,0.8007,2.004E6,,
906,6.602E4,11.6195,178.1088,178.10895,0,11.5794,11.6436,178.1089,6.604E5,1.5E6,1.5E6,,DETECTED,6.602E4,11.6195,178.1088,178.10895,,,0.0649,11.5794,11.6436,178.1089,6.604E5,1.5E6,0.6013,0.8007,1.5E6,,
907,6.657E4,11.6195,179.1292,179.12935,0,11.5794,11.6436,179.12928,5.752E5,1.61E6,1.61E6,,DETECTED,6.657E4,11.6195,179.1292,179.12935,,,0.0413,11.5794,11.6436,179.12928,5.752E5,1.61E6,0.6013,0.8007,1.61E6,,
