id,area,rt,mz_range:min,mz_range:max,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,fragment_scans,charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000028_01_01.mzML:area,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:mz,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000028_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000028_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000028_01_01.mzML:height,datafile:20250402_PMA_tp24_000028_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000028_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000028_01_01.mzML:charge,datafile:20250402_PMA_tp24_000028_01_01.mzML:isotopes
78,7.007E5,0.4349,203.05257,203.05392,0.411,0.5708,203.05283,6.46E5,1.122E7,1.122E7,1,,DETECTED,7.007E5,0.4349,203.05257,203.05392,0.0613,0.411,0.5708,203.05283,6.46E5,1.122E7,4.6275,3.2618,1.122E7,1,0.0745,,
79,1.168E6,0.4349,293.06305,293.06342,0.419,0.5067,293.06328,5.311E5,5.415E7,5.415E7,1,,DETECTED,1.168E6,0.4349,293.06305,293.06342,0.018,0.419,0.5067,293.06328,5.311E5,5.415E7,3.3576,1.7413,5.415E7,1,0.0039,,
80,1.038E5,0.4349,307.04236,307.04352,0.419,0.4826,307.04283,5.59E5,4.771E6,4.771E6,0,,DETECTED,1.038E5,0.4349,307.04236,307.04352,0.0139,0.419,0.4826,307.04283,5.59E5,4.771E6,2.5288,1.9904,4.771E6,,,,
81,3.595E5,0.4349,323.07339,323.07416,0.419,0.4826,323.07391,6.737E5,1.799E7,1.799E7,1,,DETECTED,3.595E5,0.4349,323.07339,323.07416,0.0171,0.419,0.4826,323.07391,6.737E5,1.799E7,1.8435,1.645,1.799E7,1,0.0107,,
82,3.262E5,0.4349,353.08336,353.08481,0.411,0.4666,353.08453,1.34E6,1.521E7,1.521E7,1,,DETECTED,3.262E5,0.4349,353.08336,353.08481,0.0275,0.411,0.4666,353.08453,1.34E6,1.521E7,1.3548,1.057,1.521E7,1,0.0016,,
83,1.327E5,0.4349,434.18671,434.18771,0.411,0.4826,434.18735,5.623E5,3.816E6,3.816E6,0,,DETECTED,1.327E5,0.4349,434.18671,434.18771,0.0367,0.411,0.4826,434.18735,5.623E5,3.816E6,1.8249,1.4947,3.816E6,,,,
84,9.911E4,0.4349,517.00531,517.01355,0.411,0.4746,517.01079,5.276E5,3.859E6,3.859E6,0,,DETECTED,9.911E4,0.4349,517.00531,517.01355,0.0207,0.411,0.4746,517.01079,5.276E5,3.859E6,1.7647,1.3275,3.859E6,,,,
85,1.769E6,0.4429,138.05493,138.05518,0.419,0.5627,138.05505,5.87E5,5.847E7,5.847E7,1,1,DETECTED,1.769E6,0.4429,138.05493,138.05518,0.0241,0.419,0.5627,138.05505,5.87E5,5.847E7,2.3623,1.6594,5.847E7,1,-0.0029,1,2
87,9.842E4,0.4429,143.08156,143.08179,0.419,0.4826,143.08165,8.02E5,3.272E6,3.272E6,0,,DETECTED,9.842E4,0.4429,143.08156,143.08179,0.0277,0.419,0.4826,143.08165,8.02E5,3.272E6,1.6613,1.3306,3.272E6,,,,
88,9.221E5,0.4429,180.08659,180.08696,0.411,0.5869,180.08676,9.214E5,1.767E7,1.767E7,1,,DETECTED,9.221E5,0.4429,180.08659,180.08696,0.0438,0.411,0.5869,180.08676,9.214E5,1.767E7,1.9765,44.7367,1.767E7,1,0.005,,
89,1.033E6,0.4429,198.09718,198.09753,0.411,0.5708,198.09735,5.136E5,2.253E7,2.253E7,1,1,DETECTED,1.033E6,0.4429,198.09718,198.09753,0.0424,0.411,0.5708,198.09735,5.136E5,2.253E7,1.633,1.6813,2.253E7,1,-0.0109,1,2
