id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:feature_state,datafile:20250402_PMA_tp24_000022_01_01.mzML:area,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:fragment_scans,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_000022_01_01.mzML:fwhm,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:rt_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:mz,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:min,datafile:20250402_PMA_tp24_000022_01_01.mzML:intensity_range:max,datafile:20250402_PMA_tp24_000022_01_01.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:tailing_factor,datafile:20250402_PMA_tp24_000022_01_01.mzML:height,datafile:20250402_PMA_tp24_000022_01_01.mzML:charge,datafile:20250402_PMA_tp24_000022_01_01.mzML:isotopes
49,3.26E5,0.375,153.03894,153.03989,0,0.3354,0.3988,153.03902,1.17E6,1.096E7,1.096E7,,DETECTED,3.26E5,0.375,153.03894,153.03989,,,0.0313,0.3354,0.3988,153.03902,1.17E6,1.096E7,0.5172,0.8007,1.096E7,,
51,4.077E5,0.375,156.01431,156.01466,1,0.3354,0.3988,156.01436,1.301E6,1.431E7,1.431E7,,DETECTED,4.077E5,0.375,156.01431,156.01466,1,0.0106,0.0283,0.3354,0.3988,156.01436,1.301E6,1.431E7,0.5172,0.8625,1.431E7,,
52,2.008E5,0.375,164.06691,164.06731,0,0.3354,0.3988,164.06701,7.23E5,7.15E6,7.15E6,,DETECTED,2.008E5,0.375,164.06691,164.06731,,,0.0269,0.3354,0.3988,164.06701,7.23E5,7.15E6,0.5352,0.8007,7.15E6,,
53,1.893E6,0.375,167.01297,167.01331,1,0.3354,0.3988,167.013,1.649E6,6.006E7,6.006E7,1,DETECTED,1.893E6,0.375,167.01297,167.01331,1,-0.0141,0.0344,0.3354,0.3988,167.013,1.649E6,6.006E7,0.508,0.8007,6.006E7,1,2
54,7.369E5,0.375,169.04597,169.04645,1,0.3354,0.4148,169.04604,6.536E5,2.162E7,2.162E7,,DETECTED,7.369E5,0.375,169.04597,169.04645,1,0.0028,0.038,0.3354,0.4148,169.04604,6.536E5,2.162E7,0.6351,0.7948,2.162E7,,
55,8.1E4,0.375,170.04598,170.04727,0,0.3434,0.3988,170.04707,6.221E5,2.34E6,2.34E6,,DETECTED,8.1E4,0.375,170.04598,170.04727,,,0.0355,0.3434,0.3988,170.04707,6.221E5,2.34E6,0.754,0.877,2.34E6,,
56,1.212E5,0.375,171.04349,171.04375,0,0.3434,0.3988,171.04356,6.68E5,4.175E6,4.175E6,,DETECTED,1.212E5,0.375,171.04349,171.04375,,,0.0319,0.3434,0.3988,171.04356,6.68E5,4.175E6,0.5345,0.877,4.175E6,,
57,9.075E4,0.375,174.02473,174.02518,0,0.3434,0.3988,174.02489,5.437E5,2.868E6,2.868E6,,DETECTED,9.075E4,0.375,174.02473,174.02518,,,0.0385,0.3434,0.3988,174.02489,5.437E5,2.868E6,0.5411,0.877,2.868E6,,
58,1.122E5,0.375,181.98824,181.98862,0,0.3434,0.3988,181.98829,7.143E5,4.038E6,4.038E6,,DETECTED,1.122E5,0.375,181.98824,181.98862,,,0.0281,0.3434,0.3988,181.98829,7.143E5,4.038E6,0.5405,0.877,4.038E6,,
59,5.435E5,0.375,182.96225,182.9626,1,0.3354,0.3988,182.96231,9.568E5,1.717E7,1.717E7,,DETECTED,5.435E5,0.375,182.96225,182.9626,1,0.005,0.0387,0.3354,0.3988,182.96231,9.568E5,1.717E7,0.4933,0.7458,1.717E7,,
