id,area,rt,mz_range:min,mz_range:max,fragment_scans,rt_range:min,rt_range:max,mz,intensity_range:min,intensity_range:max,height,charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:feature_state,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:area,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fragment_scans,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_ms2_apex_distance,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:fwhm,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:rt_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:mz,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:min,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:intensity_range:max,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:asymmetry_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:tailing_factor,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:height,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:charge,datafile:20250402_PMA_tp24_solanum_mapp_bk_pre_00.mzML:isotopes
47,5.34E5,2.7197,476.30418,476.30685,2,2.6936,2.7906,476.30655,5.011E5,2.168E7,2.168E7,,DETECTED,5.34E5,2.7197,476.30418,476.30685,2,-0.0135,0.0235,2.6936,2.7906,476.30655,5.011E5,2.168E7,1.4693,1.1876,2.168E7,,
48,3.887E5,2.7819,418.24625,418.24701,2,2.7554,2.8431,418.24639,5.406E5,1.462E7,1.462E7,,DETECTED,3.887E5,2.7819,418.24625,418.24701,2,-0.0114,0.0232,2.7554,2.8431,418.24639,5.406E5,1.462E7,1.9928,1.7544,1.462E7,,
49,1.367E5,2.817,453.34344,453.34396,1,2.7906,2.8518,453.34361,5.666E5,4.702E6,4.702E6,,DETECTED,1.367E5,2.817,453.34344,453.34396,1,-0.0126,0.0263,2.7906,2.8518,453.34361,5.666E5,4.702E6,1.0288,1.1596,4.702E6,,
50,4.268E5,2.8344,520.33258,520.33307,2,2.8082,2.896,520.33266,5.584E5,1.789E7,1.789E7,,DETECTED,4.268E5,2.8344,520.33258,520.33307,2,-0.0135,0.0207,2.8082,2.896,520.33266,5.584E5,1.789E7,1.5609,1.4923,1.789E7,,
51,6.459E5,2.9045,462.27252,462.27313,2,2.8785,3.0007,462.2727,5.34E5,2.426E7,2.426E7,1,DETECTED,6.459E5,2.9045,462.27252,462.27313,2,-0.0133,0.0244,2.8785,3.0007,462.2727,5.34E5,2.426E7,1.5988,1.2822,2.426E7,1,2
53,3.532E5,2.9392,564.35876,564.35913,2,2.9131,2.992,564.35882,5.578E5,1.417E7,1.417E7,,DETECTED,3.532E5,2.9392,564.35876,564.35913,2,-0.0112,0.0246,2.9131,2.992,564.35882,5.578E5,1.417E7,1.5862,1.5226,1.417E7,,
54,9.818E4,2.948,212.16457,212.16467,1,2.9306,2.992,212.16461,6.009E5,3.109E6,3.109E6,,DETECTED,9.818E4,2.948,212.16457,212.16467,1,-0.0049,0.031,2.9306,2.992,212.16461,6.009E5,3.109E6,2.3879,1.7667,3.109E6,,
55,8.335E5,3.0093,506.29904,506.29953,2,2.9831,3.1217,506.29915,5.226E5,3.016E7,3.016E7,1,DETECTED,8.335E5,3.0093,506.29904,506.29953,2,-0.0134,0.0229,2.9831,3.1217,506.29915,5.226E5,3.016E7,2.0254,1.7665,3.016E7,1,2
57,2.557E5,3.0352,608.38519,608.3858,2,3.0093,3.0788,608.38531,7.5E5,9.875E6,9.875E6,,DETECTED,2.557E5,3.0352,608.38519,608.3858,2,-0.0112,0.0254,3.0093,3.0788,608.38531,7.5E5,9.875E6,1.5855,1.6108,9.875E6,,
58,1.196E5,3.0962,239.08904,239.08919,2,3.0352,3.148,239.0891,5.004E5,1.796E6,1.796E6,,DETECTED,1.196E5,3.0962,239.08904,239.08919,2,-0.0211,0.0711,3.0352,3.148,239.0891,5.004E5,1.796E6,0.8475,0.9237,1.796E6,,
