formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C3H3AsO7	[M + K]+	C3H3AsKO7+	1.000	1.000	81.505	81.013	0.492	12	0.747	-0.625	0.650	1.125		264.873	21	0.358	707603155075839121	707602754695938079	35	
1	C7H7BrFNO3	[M + Na]+	C7H7BrFNNaO3+	0.981	0.964	59.618	59.618	0.000	14	0.787	3.965	3.965	3.891		273.950	21	0.358	707603155138753696	707602754490417163	30	
1	C2H5AsFNO7	[M + K]+	C2H5AsFKNO7+	1.000	1.000	69.911	69.911	0.000	17	0.612	-0.459	0.515	-3.645		287.889	21	0.358	707603159387583990	707602754536554511	31	
1	C3H4Br2FNO6S	[M + H]+	C3H5Br2FNO6S+	0.905	0.333	101.323	101.323	0.000	25	0.729	4.060	4.060	0.732		359.819	21	0.358	707603161778337385	707602754662383643	34	
1	C4H8AsFN2O7	[M + K]+	C4H8AsFKN2O7+	1.000	1.000	49.527	49.527	0.000	16	0.850	-0.516	0.564	-3.218		328.915	21	0.358	707603166924748678	707602754624634903	33	
1	C6H9Br2Cl3N2O2	[M + H]+	C6H10Br2Cl3N2O2+	0.478	0.332	31.811	31.811	0.000	22	0.657	-1.886	1.886	-2.053		404.816	22	0.360	707603166840862575	707602754851127343	39	
1	C4H6BrF2NO3	[M + Na]+	C4H6BrF2NNaO3+	0.839	0.216	33.809	33.809	0.000	8	0.398	4.569	4.569	-0.673		255.939	22	0.364	707603150587933589	707602754414919687	29	
1	C4H6N3O2	[M + Na]+	C4H6N3NaO2+	1.000	0.973	40.256	40.256	0.000	6	0.621	6.213	6.213	1.376		151.035	22	0.366	707603132602757215	707602755299917911	49	
1	C5H10Cl2N2O	[M - H2O + H]+	C5H9Cl2N2+	0.990	0.332	21.764	19.377	2.387	3	0.946	-7.429	7.429	-107843.603		167.013	22	0.366	707603145433133618	707602755450912867	52	
1	C3H7Cl2NO	[M - H2O + H]+	C3H6Cl2N+	0.994	0.331	18.432	16.265	2.167	2	0.784	-5.609	5.609	-142961.621		125.987	22	0.366	707603150235612033	707602755392192607	51	
1	C3H10BrFN4O4S	[M + H]+	C3H11BrFN4O4S+	0.533	0.495	35.821	35.821	0.000	14	0.871	0.873	1.167	-1.962		296.966	22	0.366	707603160020923948	707602754943402039	41	
1	C3H7Cl2NO	[M + H]+	C3H8Cl2NO+	1.000	0.496	32.558	30.488	2.070	3	0.660	-5.826	5.826	-4.831		143.997	22	0.366	707603158922016198	707602756201693359	71	
1	C4H8N3O3	[M + Na]+	C4H8N3NaO3+	1.000	1.000	71.348	71.348	0.000	9	0.872	2.858	2.858	1.320		169.046	22	0.368	707603152282432467	707602756138778791	69	
1	C5H6ClF2NO3	[M + Na]+	C5H6ClF2NNaO3+	0.984	0.876	36.625	36.625	0.000	9	0.167	2.573	2.596	-2.803		223.989	22	0.368	707603152563450867	707602755962618003	64	
1	C5H5BFNO2	[M - H2O + H]+	C5H4BFNO+	0.395	0.333	40.232	40.232	0.000	7	0.494	5.286	5.618	-146374.815		123.041	22	0.368	707603154568328323	707602756101030051	68	
1	C2H5N2O3	[M + Na]+	C2H5N2NaO3+	1.000	1.000	64.252	64.252	0.000	6	0.770	5.327	5.327	2.205		128.020	22	0.368	707603158825547193	707602755878731915	62	
1	C2H7FN2O6	[M + H3N + H]+	C2H11FN3O6+	0.885	0.564	43.809	43.809	0.000	9	0.838	4.628	4.628	-3.799		192.062	22	0.368	707603159697962522	707602756168138923	70	
1	C8H7ClFNO3	[M + Na]+	C8H7ClFNNaO3+	0.884	0.861	69.269	69.269	0.000	11	0.489	2.195	2.195	2.274		242.000	22	0.368	707603166731810653	707602756000366743	65	
1	C6H6ClFO4	[M + Na]+	C6H6ClFNaO4+	0.524	0.479	75.674	75.674	0.000	12	0.796	2.342	2.342	3.173		218.984	22	0.369	707603164026484421	707602756340105407	75	
1	C6H6Cl3N3O3	[M - H2O + H]+	C6H5Cl3N3O2+	0.451	0.333	50.928	48.977	1.952	9	0.643	-0.942	0.960	-70366.835		255.945	22	0.369	707603153062573072	707602755505438823	53	
1	C13H7NO13	[M + K]+	C13H7KNO13+	0.973	0.957	56.963	56.963	0.000	24	0.720	-1.997	2.009	0.549		423.955	22	0.369	707603188500249627	707602755803234435	60	
1	C11H6O14	[M + K]+	C11H6KO14+	0.997	0.998	66.843	66.843	0.000	17	0.720	-2.131	2.131	-0.481		400.939	22	0.369	707603240757085427	707602755765485695	59	
1	C8H7FN4O2S	[M + Na]+	C8H7FN4NaO2S+	0.830	0.376	25.716	25.716	0.000	15	0.502	-0.014	1.695	-3.454		265.016	22	0.369	707603146263605876	707602756038115483	66	
1	C3H5N2O4	[M + Na]+	C3H5N2NaO4+	1.000	1.000	102.022	102.022	0.000	16	0.430	3.090	3.090	1.331		156.014	22	0.369	707603154249561176	707602756235247795	72	
1	C9H5AsClFO3	[M + Na]+	C9H5AsClFNaO3+	1.000	1.000	100.911	100.911	0.000	28	0.627	0.745	2.125	-3.474		312.901	22	0.369	707603176047360414	707602756809867515	90	
1	C7H7FN4OS	[M + Na]+	C7H7FN4NaOS+	0.845	0.728	34.768	34.768	0.000	9	0.238	0.314	2.138	-3.421		237.021	22	0.369	707603144279699951	707602755916480655	63	
1	C16H8BrN3O4S	[M + Na]+	C16H8BrN3NaO4S+	0.922	0.450	52.080	52.080	0.000	30	0.758	2.684	2.760	3.865		439.933	22	0.369	707603231701582768	707602756411408583	77	
1	C3H7ClN2O5S	[M - H2O + H]+	C3H6ClN2O4S+	0.326	0.258	90.399	90.399	0.000	15	0.381	-1.051	1.678	-89616.897		200.973	22	0.370	707603147240878844	707602756306550971	74	
1	C5H4NO3S3	[M + H3N + H]+	C5H8N2O3S3+	0.645	0.187	42.721	40.929	1.792	9	0.148	2.798	2.868	-10.237		239.967	22	0.370	707603155889534166	707602756373659843	76	
1	C5H8FN2O7P	[M + Na]+	C5H8FN2NaO7P+	0.295	0.123	35.795	35.795	0.000	11	0.603	-2.472	2.555	-4.613		280.993	22	0.370	707603155935671527	707602756440768715	78	
1	C2H8ClNO2P	[M + K]+	C2H8ClKNO2P+	0.614	0.584	52.630	52.630	0.000	11	0.378	3.524	3.909	5.324		182.962	22	0.370	707603155986003190	707602756272996535	73	
